tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Convergent margin,Rhyolite,74.27,0.09,12.74,0.73,0.15,0.07,5.07,4.05,0.01,5,1,4,4,2,296,19,37,141,58,103,37,7,0.15,3.9,0.58,4,46
Convergent margin,Dacite,66.99,0.709,15.46,3.38,1.07,0.137,2.13,5.08,0.187,12,NA,4,4.6,2,73,147.8,47.2,242,25.2,52,25.8,5.98,1.46,4.99,0.78,6.06,12.9
Convergent margin,Rhyolite,69.8,0.108,11.7,2.42,0.18,0.088,4.46,3.45,0.036,3.325706815,39.17156105,4,9.536491387,3.460933403,75.06271952,178.9802289,15.41862653,274.5518044,25.93195975,51.50289017,27.2596401,4.82815735,0.882304611,1.327282435,0.196680942,8.217661978,10.23255814
Convergent margin,Andesite,62.22,1.3,15.16,4,1.65,0.14,2.89,5.02,0.46,20.6,105,4,11.2,8,78.3,306,42.2,366,34,81.5,39.8,8.37,2.03,4.31,0.63,8.6,10.6
Convergent margin,Rhyolite,74.13,0.09,12.79,0.73,0.15,0.08,5.09,4.09,0.01,5,2,4,4,2,301,19,40,144,63,116,41,8.1,0.15,4.5,0.69,5,54
Convergent margin,Basalt,55.77,1.12,14.07,8.24,3.69,0.23,0.31,3.12,0.2,40,389,4,34,15,4.21,153,37,78,3.15,9.11,8.9,3.42,1.18,3.6,0.78,2.19,0.23
Convergent margin,Rhyolite,73.34,0.26,13.65,1.83,0.47,0.07,4.84,3,0.03,5,28,4,NA,5,190,117,35,159,53,90.9,35.6,5.95,0.72,3.18,0.51,4.61,26.8
Convergent margin,Andesite,56.3,0.8,18.4,7.83,3.45,0.17,1.47,3.84,0.12,20.5,162.79,4.09,22.39,6.72,31.16,442.93,18.98,79.06,9.27,20.73,12.63,3.32,1.04,1.98,0.31,2.3,2.82
Cont flood Basalt,Rhyolite,73.49,0.34,10.22,0.25,0.18,0.17,4.79,4.47,0.05,2,14.3,4.2,0.4,6.1,179,15.6,167,1496,190,400,169.5,33.98,4.92,14.43,2.1,37.36,27.03
Convergent margin,Andesite,54.33,0.54,19.69,7.12,2.76,0.18,0.55,3.21,0.22,13.472,66.441,4.239,12.644,3.044,9.723,674.305,18.691,66.86,11.732,24.023,15.848,3.786,1.256,1.914,0.301,1.969,0.953
Convergent margin,Dacite,63.68,0.711,15.68,3.59,1.52,0.145,2.25,5.76,0.19,15.6,41.3,4.3,5.6,4.8,70.5,160.3,42.77,239.9,23.47,49.05,23.84,5.72,1.35,4.63,0.72,6,11.55
Intraplate,Dacite,64.79,0.83,16.07,2.33,1.28,0.11,3.03,4.84,0.28,11,71,4.34,6,NA,69.9,414,28.9,190,29.7,62.5,30.25,6.158,1.92,3.06,0.49,5.72,6.97
Cont flood Basalt,Rhyolite,68.86,0.38,11.99,2.31,0.23,0.16,4.53,3.21,0.1,7.34,4.43,4.36,1.27,3.39,119,138,134,1178,94.9,211,109,21.9,5.09,9.62,1.35,10.6,11.7
Cont flood Basalt,Rhyolite,73.92,0.24,11.72,0.29,0.01,0.07,4.86,2.95,0.03,2.41,2.87,4.37,0.63,2.04,141,85,150,662,113,266,131,26.2,4.85,13.6,1.86,7.9,15.7
Archean craton,Dacite,73,0.65,15.3,1.31,0.4,0,2,5.44,0.14,8.32,36,4.5,4.5,6,90,130,30,200,33.9,58,26,5.07,0.68,1.99,0.33,5.6,6.8
Intraplate,Rhyolite,74.4,0.25,13.45,0.93,0.45,0.03,4.03,4.15,0.07,2.97,15.6,4.66,3,2.35,164.6,184.3,9.87,129,30.3,60.4,21.5,3.55,0.71,0.88,0.13,3.86,19.9
Convergent margin,Rhyolite,75.65,0.18,12.83,1.27,0.15,0.15,1.47,5.71,0.02,10.6,20.5,4.67,1.45,8.43,21,78.8,62.1,217,15.5,40.6,27.7,7.46,1.46,6.3,0.962,5.5,1.68
Convergent margin,Andesite,53.06,0.81,18.97,9.23,3.23,0.2,2.05,3.41,0.3,NA,220,4.9,20.4,3.1,47.4,565,22.1,87,18.4,36.4,18.8,4.37,1.37,2.16,0.323,2.24,6.77
Convergent margin,Rhyolite,67.72,0.54,15.41,3.04,0.92,0.1,2.23,4.29,0.14,7.5,41,5,6,2,67.6,166,28.1,194,16.37,34.49,16.2,3.71,1.05,2.87,0.46,4.44,5.87
Convergent margin,Dacite,65.6,0.689,15.6,3.79,1.58,0.055,2.82,4.43,0.236,5.791064863,63.56798226,5,29.31700447,6.152730244,30.8069371,1035.264187,11.43260765,207,37.93317582,83.57653724,34.52217603,5.926392279,2.053622801,1.191152935,0.196200277,5.071327834,5.894349464
Convergent margin,Rhyolite,73.3,0.317,13.87,2,0.44,0.078,2.72,4.38,0.06,7,13,5,3,7,94.6,155,27.9,189,22.4,48.12,21.4,4.43,0.96,2.91,0.47,5.48,8
Convergent margin,Rhyolite,74.93,0.255,13.37,1.48,0.25,0.086,2.84,4.43,0.07,7,9,5,3,5,101.2,125.4,34.6,227,24.2,51.8,24.5,5.26,1.25,3.55,0.53,6.22,10
Rift,Rhyolite,73.14,0.38,12.41,0.42,0.73,0.06,6.22,1.75,0.08,16,13,5,12,18,219,41,70,339,38.77,84.6,39.92,9.166,1.12,7.11,1.02,10.39,15.97
Convergent margin,Andesite,56.8,0.53,20.6,9.01,2.65,0.14,0.69,3.37,0.13,14.6,126,5,14.7,6.19,9.69,671,2.68,53,10.8,23.3,12.9,3.06,1.01,1.54,0.24,1.5,0.88
Convergent margin,Andesite,57.43,0.92,17.49,7.52,3.13,0.19,0.52,3.03,0.17,NA,49,5,15,0.5,10.7,330,28.8,86,11.1,19,15.5,3.94,4.48,2.98,0.48,2.36,1.05
Convergent margin,Rhyolite,74.29,0.278,13.4,1.65,0.33,0.091,2.84,4.6,0.05,6,8,5,2,5,103,145,35.3,229,24.9,58.6,27.9,5.93,1.31,3.82,0.59,6.02,11
Intraplate,Rhyolite,72.62017,0.28682,14.53458,0.72223,0.28171,0.04948,3.70422,5.77789,0.05401,4.543349157,4.9,5,NA,4.3,99.41335155,171.5079156,24.6570041,274.4191797,34.28838979,69.37819258,29.66,5.469,1.151039768,2.507179255,0.401612654,7.138814931,10.13955835
Convergent margin,Rhyolite,75.49,0.18,13.97,1.12,0.13,0.05,4.15,3.34,0.02,6,13,5,NA,4,133,84,23,116,30.4,62.7,17.9,3.25,0.5,2.15,0.28,2.8,16.2
Convergent margin,Andesite,58.26,1.02,17.89,7.38,2.37,0.18,0.56,3.45,0.24,NA,46,5,15,3.2,6.1,359,34.2,131,11,28,17.2,4.66,5.51,3.54,0.55,3.37,1.56
Archean craton,Dacite,79.9,0.62,10.03,1,0.7,0.03,2.64,0.22,0.159,10.4,15,5,9,NA,94,13,44,221,11.1,24.5,15.6,4.36,1.24,4.6,0.67,4.85,7.26
Convergent margin,Rhyolite,74.8,0.272,13.53,1.51,0.25,0.085,2.78,4.27,0.03,8,7,5,3,5,103,134,34.8,230,25.4,55.2,26.6,5.81,1.24,3.72,0.57,6.03,10
Convergent margin,Rhyolite,71.69,0.3,13.37,1.42,0.58,0.04,4.42,4.03,0.09,1.59,8.66,5,0.706,0.535,164,89.5,16.8,179,32.9,62,28.6,4.63,0.777,1.62,0.255,6.53,13.2
Cont flood Basalt,Rhyolite,72.26,0.3,12.65,0.11,0,0.02,4.88,3.01,0.05,3.35,1.42,5.03,0.87,4.48,131,99,171,896,102,246,120,24.7,5.12,14.4,2.08,9.04,14.7
Convergent margin,Andesite,50.83,1,18.54,8.89,4.47,0.29,0.33,2.27,0.37,37.2,331,5.29,41.5,12.8,7.45,243,20.2,39.7,3.32,9.12,7.33,2.32,0.909,2.1,0.325,1.24,0.561
Convergent margin,Andesite,58.2,1.04,16.6,5.78,2.41,0.21,1.74,4.68,0.52,21.4,123.7,5.3,15.1,4.8,31.6,384,32.8,114,16.2,36.4,20.8,5.4,1.8,2.8,0.4,3.2,3.7
Intraplate,Dacite,64.72,0.49,15.77,3.92,1.18,0.11,3.14,2.54,0.13,6.83,54.7,5.38,7.08,2.38,113,198,21.5,207,26.3,55.9,20.4,4,1.3,2.4,0.4,5.3,6
Intraplate,Rhyolite,76.57,0.17,11.72,0.28,0.17,0.01,5.75,1.7,0.02,4.75,NA,5.39,0.45,0.97,296,27.5,124,226,188,369,153,29,1.36,101,1.5,9.15,44.9
Intraplate,Dacite,68.08,0.38,14.35,2.39,1.2,0.07,3.11,2.6,0.15,6.7,41,5.6,5.3,4,114.9,220,25.1,193,27.83,56.8,26.3,5.15,0.74,2.51,0.37,5.64,11.16
Intraplate,Rhyolite,74.2,0.11,14.22,1.38,0.28,0.01,4.05,4.37,0.05,1.7,11.7,5.65,2.04,0.44,48.8,233.1,3.62,152,9.12,14.4,5.12,0.8,0.57,0.31,0.05,4.62,1.46
Intraplate,Rhyolite,70.74,0.45,14.41,1.04,0.9,0.07,4.23,4.28,0.11,4.07,34.9,5.79,5.92,5.6,83.71,581.3,12.9,174,16.5,36.7,14,2.7,0.82,1.68,0.27,4.29,6.56
Cont flood Basalt,Rhyolite,70.11,0.48,12.67,1.62,0.32,0.13,4.34,3.36,0.11,10.6,6.5,5.8,2.98,3.91,128,128,147,903,105,235,118,23.8,4.94,12.4,1.75,10.3,14
Intraplate,Rhyolite,70.71,0.44,14.75,1.54,0.29,0.04,5.12,3.32,0.13,5.9,33,5.8,3.9,3.8,144.7,265,15.1,150,28.62,54.11,22.04,3.88,0.78,1.52,0.23,4.59,14.18
Convergent margin,Andesite,57.27,1.23,14.1,7.52,2.93,0.23,0.62,2.69,0.19,30.9,268.2,5.8,25.3,7.4,8.5,160,32.3,55.7,4.54,11.99,11.26,3.81,1.28,3.87,0.55,2.51,0.563
Intraplate,Rhyolite,75.2,0.21,11.1,0.21,0.14,0.07,5.8,2,0.03,1.4,4.4,5.8,1.3,4.1,175.6,23.6,75,981.7,83.6,185.4,84.9,17.1,0.5,7.1,1,19.8,25.9
Archean craton,Basalt,53.62,2.11,12.13,6.05,3.21,0.24,0.24,3.03,0.63,36,100,6,39,8,6,158,53.59,203,15.24,35.36,26.23,7.62,2.8,6.36,0.94,5.75,1.77
Convergent margin,Rhyolite,72.33,0.35,14.62,2.37,0.81,0.06,3.24,3.91,0.07,4.9,31,6,5.3,4,93,266,18,227,31.6,60,21,3.2,0.79,2.2,0.4,5.4,11.9
Archean craton,Andesite,57.8,1.1,13.9,5.6,2,0.2,1.3,2.6,0.5,17,13,6,18,2,51,171,51,278,24.4,61.1,37.5,9.3,3,5.2,0.79,7.5,3.1
Ocean island,Rhyolite,73.75,0.14,13.6,0.74,0.08,0.05,3.63,4.93,0.01,2.1,2,6,2,4,82,69,80,465,75.1,132,68.64,16.32,2.7,7.4,1.1,14.7,10.7
Convergent margin,Rhyolite,74.26,0.13,13.59,0.22,0.08,0.03,4.83,4.71,0.02,0.4,3,6,0.3,4,159,400,18,431,21.1,40.3,16.4,3.61,0.16,2.5,0.38,12.8,18.7
Rift,Andesite,61.58,1.67,13.85,3.11,1.9,0.14,3.69,2.68,0.59,21,66,6,7.2,0,123,212,65,397,34,76,40,9.5,2.6,5.7,0.85,9.9,8.7
Convergent margin,Dacite,64.14,0.57,15.19,3.82,1.8,0.17,2.24,5.11,0.3,16,51,6,5,6,37,255,32,94,14.95,33.16,20.01,5.2,1.48,3.05,0.47,2.47,1.72
Convergent margin,Rhyolite,73.51,0.256,13.83,1.75,0.32,0.053,3.29,4.19,0.04,7,12,6,3,6,107,114,30.7,214,24.3,54.08,23.5,5.2,0.9,3.23,0.54,6.83,13
Convergent margin,Andesite,55.02,1.26,17.34,7.21,3.22,0.17,0.77,4.39,0.23,30,236,6,22,6,15.2,498,26.7,88,9.7,23.6,15.8,4.1,1.38,2.34,0.37,2.4,1.12
Intraplate,Rhyolite,75.43,0.16,13.12,0.24,0.49,0.03,5.17,2.21,0.12,4,11,6,2,4,189,40,35,86,18.4,40.2,18.2,4.68,0.3,3.09,0.46,2.3,11.1
Convergent margin,Rhyolite,74.05,0.311,13.59,1.75,0.35,0.095,2.81,4.41,0.05,8,7,6,3,5,94.7,155,34.1,217,24.7,53.76,25.8,5.56,1.25,3.3,0.54,5.68,9
Convergent margin,Andesite,61.56,0.88,16.78,6.16,2.22,0.16,1.06,3.28,0.23,NA,116,6,22,3.6,18.7,314,35.1,149,14.3,34,19.5,4.81,5.81,3.56,0.58,3.58,2.81
Convergent margin,Dacite,64.5,0.685,15.9,3.53,1.35,0.053,3.15,4.49,0.243,2,18,6,2,4,199.399,141.344,11.336,135.576,46.709,76.1,20.377,3.027,0.612,1.067,0.166,3.873,21.101
Convergent margin,Dacite,67.13,0.44,14.16,5.88,0.76,0.15,1.47,0.9,0.13,15,14,6,4,3,35,207,43,178,23,55,32,6.7,1.6,4.8,0.7,6,6
Convergent margin,Dacite,65.3,0.691,16,3.55,1.46,0.052,3.1,4.57,0.239,4,77,6,5,2,314.236,856.987,17.928,228.311,25.602,43.7,21.688,4.44,1.305,1.875,0.292,4.945,10.366
Convergent margin,Rhyolite,70.37,0.67,13.39,3.29,0.95,0.15,1.62,4.65,0.15,14,15,6,10,1,27,153,47,155,11.9,28.6,20.4,5.75,1.52,5.24,0.8,4.46,1.688
Convergent margin,Andesite,62.1,0.7,17.3,4.9,1.6,0.2,1.8,4.4,0.3,13,41,6.2,8,4.9,45,401,33,138,20,43,24,5.3,1.6,2.9,0.4,3.8,4.3
Convergent margin,Andesite,57,0.54,20.8,9.21,2.73,0.14,0.65,3.34,0.16,15.3,130,6.38,14.7,7.07,11.1,686,2.69,50.3,11,23.7,13,3.08,1.05,1.56,0.25,1.46,0.93
Convergent margin,Andesite,61.02,0.87,16.35,4.77,1.82,0.19,2.19,4.74,0.29,22.5,116.8,6.4,13.3,5.7,50.3,328,38.9,162,19.8,41.8,23.6,5.9,1.8,3.4,0.5,4.4,5.2
Cont flood Basalt,Rhyolite,64.02,0.67,12.84,2.35,0.33,0.11,4.2,3.5,0.18,8.38,7.21,6.6,2.87,3.22,105,171,142,961,95.3,222,112,22.9,4.96,12.6,1.78,16.6,12.6
Intraplate,Rhyolite,75.5,0.17,10.7,0.3,0.1,0.05,4.5,4.1,0.02,1.2,1.3,6.7,0.8,5,207.5,13.8,115.9,1021.8,84.1,179.3,96.5,20.6,0.5,11,1.7,21.2,22.9
Intraplate,Rhyolite,70.92976454,0.201247736,16.58281344,2.817468303,0.643992755,0.0101,2.586033407,4.457637352,0.0704,2.341127786,39.25072098,6.747831386,15.19201155,4.217148414,91.00998986,254.373929,1.724826156,139.8289657,21.96542337,44.99562951,16.95733968,2.854641851,0.766809249,0.0715,0.0115,4.074080343,10.58681659
Convergent margin,Dacite,64.57,0.88,15.64,3.05,0.99,0.12,3.2,4.81,0.28,15.3,37,6.8,5.4,10,105,254,41,311,31.4,83.5,44.6,8.46,1.89,4.1,0.61,7.3,11.04
Convergent margin,Rhyolite,74.54,0.15,13.12,1.19,0.41,0.05,5.74,3.21,0.05,3.83,31,6.8,2.3,1,229,69,34,135,34.6,66,26,4.56,0.36,3.5,0.6,4.4,21.9
Intraplate,Rhyolite,74.2,0.2,11.9,0.3,0.07,0.08,4.6,4.2,0.02,0.9,1.2,6.8,0.9,4.5,128.8,16.2,59.6,609.8,48.3,108.9,47.2,9.8,0.4,5.3,0.9,14.4,19.9
Intraplate,Dacite,66.89,0.46,14.23,3.64,0.46,0.07,5.36,2.31,0.15,8,73,6.8425,5.9,3.7,162.9,526.4,16.3,157.3,42.5,81.6,30.9,5.3,1.26,1.52,0.25,4.2,31
Convergent margin,Andesite,56.3,0.54,20.7,9.05,2.74,0.13,0.64,3.31,0.17,15.2,129,6.85,14.9,7.64,9.96,660,15.7,50.6,10.8,23.1,12.8,3.06,1.02,1.55,0.24,1.45,0.9
Intraplate,Rhyolite,69.13404989,0.294058,17.18718313,3.559115798,0.527276415,0.0203,2.240924762,4.613668627,0.111539242,2.984840171,40.19833901,6.925770882,17.50450656,4.203840439,82.28603,285.9222762,3.834841446,181.0968591,28.89206183,58.99536057,22.68942289,3.664128275,0.901971623,0.261377025,0.03422626,4.81905534,13.41645772
Cont flood Basalt,Rhyolite,71.36,0.27,12.39,0.12,0.1,0.04,4.89,3.1,0.07,7.53,2.49,6.99,0.94,3.74,146,101,158,1045,114,180,128,25.8,5.15,12.4,1.78,12.9,14.4
Rift,Basalt,44.1,4.22,13.87,9.41,5.35,0.17,1.32,3.1,1.34,21,243,7,37,18,67,903,29.8,184,39,82,46,9.7,3.7,1.83,0.27,4.5,3.4
Convergent margin,Rhyolite,72.46,0.34,12.5,1.55,1.32,0.07,1.25,4.11,0.08,13,24,7,4.1,1.4,14.7,103.9,32.4,71.6,3.7,8.6,9,3.2,1.05,3.26,0.49,2.2,0.3
Convergent margin,Dacite,66.09,0.32,15.32,4.52,1.28,0.08,1.08,4.82,0.2,16,342,7,11,7,37.6,207,11.8,71.5,3.78,8.04,5.74,1.26,0.41,1.22,0.23,2.2,0.66
Convergent margin,Rhyolite,70.02,0.39,16.74,2.66,0.88,0.07,2.5,3.41,0.03,14,43,7,NA,5,86,184,15,178,17.9,39.6,11.4,2.35,0.6,1.6,0.2,3,12.3
Rift,Rhyolite,77.23,0.38,11.77,0.33,0.59,0.06,2.32,3.47,0.07,16,11,7,12,20,73,33,65,307,43.54,92.21,43.56,9.754,1.24,6.78,0.98,9.42,15.11
Backarc basin,Basalt,52.3,2.52,12.06,7.6,3.35,0.27,0.22,3.32,0.41,38,305,7,36,16,4.7,89,118.4,299,9.3,29.29,31.2,10.4,2.87,11.18,1.63,7.78,0.57
Convergent margin,Dacite,64.21,0.2,12.02,3.33,0.35,0.1,3.03,1.55,0.12,11.95426195,122.5114855,7,12.25337487,2.434696895,34.67879477,389.380531,15.88170865,14.81882098,10.88580576,23.90608324,13.43283582,2.924226254,0.912111468,1.747673216,0.276185513,0.611536498,2.293986637
Cont flood Basalt,Rhyolite,60.14,1.37,12.22,4.5,0.97,0.21,3.17,2.96,0.52,22,10.9,7,9.79,4.22,87,233,138,923,84.2,199,107,22,5.56,11.5,1.64,20,10.1
Convergent margin,Rhyolite,72.45,0.57,11.8,2.52,0.92,0.07,0.29,4.78,0.18,19,120,7,5.6,2.2,4.2,156.5,27,62.1,6.4,14.5,12.5,3.1,0.99,2.74,0.4,2.3,0.5
Archean craton,Basalt,52.3,1.42,12.6,7.2,6,0.34,0.1,4.3,0.13,40,362,7,55,30,0.9,29,41,147,8.1,21.8,16.1,4.9,1.38,4.49,0.67,4.04,0.919
Convergent margin,Andesite,58.35,0.84,16.22,7.06,3.77,0.16,0.99,2.77,0.12,NA,114,7,20,1.4,25,267,22.4,108,10.5,21.3,11.7,2.84,3.45,2.45,0.37,2.85,2.64
Convergent margin,Dacite,66.77,0.741,15.36,3.4,1.1,0.146,2.03,5.19,0.187,12,NA,7,4.5,1,68.4,149.4,47.4,234,23.7,51,24.8,5.86,1.5,5.11,0.79,5.84,12.83
Intraplate,Rhyolite,69.53390678,0.300060012,17.24344869,3.170634127,0.560112022,0.030006001,2.160432086,4.49089818,0.110022004,3.003269897,40.59538867,7.048552396,18.71297104,4.133326608,77.23358133,286.0595342,4.032976007,179.3512302,28.55800917,57.55406826,21.92332719,3.831762416,0.932909822,0.259256522,0.0393,4.705257938,12.87083584
Intraplate,Dacite,67.45,0.42,14.73,2.68,1.1,0.09,3.49,3,0.15,7.6,40,7.2,5.2,5.1,112.5,266,26.1,191,28.32,56.87,26.03,5.22,0.81,2.67,0.39,5.7,10.67
Intraplate,Rhyolite,77.09,0.22,11.74,0.36,0.31,0.03,6.13,2.4,0.02,3.85,NA,7.25,0.3,1.5,275,52.1,59.2,99.4,61.2,140,63.7,15.1,0.86,4.62,0.63,4.53,34.2
Intraplate,Rhyolite,76.52,0.18,11.56,0.53,0.21,0.03,5.73,1.82,0.02,4.3,NA,7.31,0.58,1.15,296,28.4,47.9,243,66.7,103,51.3,9.54,0.82,5.7,0.83,9.11,37.2
Convergent margin,Andesite,54.9,0.66,20.58,9.4,2.77,0.15,0.53,3.23,0.23,18.9,140.05,7.376,16.191,7.112,7.984,719.751,16.998,49.49,10.69,23.582,13.517,3.257,1.1,1.7,0.266,1.422,0.631
Intraplate,Rhyolite,75.4,0.17,10.2,0.24,0.09,0.06,4.9,2.9,0.02,1.5,1.7,7.5,1,5.3,272.3,18.9,112.8,1404.6,66.1,163.8,75.4,17,0.5,9.7,1.6,27.4,29.9
Intraplate,Rhyolite,76.16,0.28,11.95,1.02,0.23,0.02,5.47,2.21,0.06,4.8,22,7.6,1.7,4.7,110.2,175,12.9,106,22.17,39.84,15.63,2.61,0.53,1.45,0.23,3.34,10.97
Intraplate,Rhyolite,74.54391,0.11823,12.94272,0.21764,0.02425,0.01341,3.90453,5.04601,0.02322,4.592492882,3.4,7.6,NA,4.5,97.23696114,34.43776994,44.28188551,381.4893918,35.7537675,71.94760863,34.35313875,7.381589951,0.218890305,4.604936564,0.732230705,10.0082539,12.61477848
Cont flood Basalt,Rhyolite,70.44,0.54,12.93,0.91,0.12,0.03,4.66,3.07,0.14,8.39,9.06,7.78,2.24,7.47,128,141,144,938,101,221,113,22.9,4.83,11.2,1.57,9.87,13
Intraplate,Rhyolite,71.09,0.39,14.15,0.86,0.73,0.05,3.92,4.78,0.08,6.54,30.8,7.8,4.72,1.66,89.5,81.4,25.1,209,21,39.2,17.4,3.6,0.77,2.71,0.44,6.07,11.3
Convergent margin,Rhyolite,74.77,0.28,12.86,2.04,0.36,0.08,1.86,4.29,0.06,5.9,18.6,7.83,1.87,0.83,22.4,106,29.1,144,9.82,23,13,3.19,0.687,3.11,0.491,3.55,1.41
Cont flood Basalt,Rhyolite,69.61,0.66,12.6,0.38,0.18,0.09,4.44,2.81,0.11,10.5,8.38,7.89,3.67,3.58,134,144,179,946,149,264,162,31,6.7,14.4,1.98,14.8,12.5
Intraplate,Dacite,65.39025,0.72023,15.745,2.80935,1.16266,0.09539,3.4118,4.65099,0.23446,8.371473613,45.9,7.9,NA,7.6,81.230019,473.2905637,24.70234335,263.7145864,32.06663736,68.48224798,33.06,6.469,1.641675584,2.238533994,0.35792952,6.798063262,7.967178733
Convergent margin,Rhyolite,74.02,0.251,13.96,2.28,0.44,0.049,2.79,3.99,0.06,4,17,8,1,6,106,163,19.7,131,20.9,42.68,16.7,3.31,0.71,2.07,0.33,4.29,9
Convergent margin,Dacite,68.98,0.5,15.05,2.45,1.06,0.05,4.08,4.31,0.17,3.14,59.8,8,5.69,4.31,99.1,417,8.22,132,23.9,60.1,19.9,3.36,0.813,0.813,0.131,4.17,10.4
Seamount,Dacite,62.46,0.75,16.29,3.14,3.22,0.26,2.94,3.28,0.18,12.5,87,8,10.3,43,41,231,39,199,12.5,27.2,NA,4.46,1.19,3.7,0.45,4.15,2.61
Convergent margin,Dacite,65.2,0.701,15.9,3.67,1.66,0.059,3.21,4.53,0.264,11.59220053,150.4523313,8,18.40109423,5.968323869,45.48193072,853.4629733,22.8961648,230.5910453,34.42290324,73.79442182,35.87575395,7.003956044,1.995004465,2.198858901,0.343086433,6.322157828,4.009734014
Intraplate,Dacite,67.13,0.42,16.42,3.74,1.09,0.04,2.18,4.93,0.17,5,64,8,8,6,59.46,831,8,116,21.27,39.71,17.24,3.14,0.95,0.77,0.12,3.4,7.74
Convergent margin,Andesite,60.56,1.27,15.3,3.96,1.68,0.23,2.41,5.2,0.57,19.9,32,8,8.5,10,59.4,410,43.1,270,37.1,87.6,45.3,9.92,2.57,4.56,0.65,6.3,8.6
Backarc basin,Basalt,51,2.5,12.08,8.66,4.7,0.28,0.09,2.99,0.2,46.5,652,8,57.3,31,1.84,84,71.9,159,4.59,15.4,17,6.22,2.12,7.24,1.14,4.61,0.224
Convergent margin,Rhyolite,73.11,0.33,14.27,1.69,0.49,0.07,3.48,4.2,0.06,3.7,18,8,3.3,3,96,199,17,268,34.1,60,18,3.5,0.6,2.3,0.4,6.1,13
Convergent margin,Andesite,56.78,0.3,15.9,5.76,2.81,0.1,0.72,3.27,0.04,22,214,8,19,20,13.2,257,9.7,58,3.21,7.35,5.5,1.27,0.44,1.09,0.17,1.65,0.69
Convergent margin,Andesite,53.7,1.18,17.67,9.31,5.96,0.1,0.58,3.53,0.2,25,301,8,34,49,8,297,21,152,10.9,25.7,5.78,1.74,1.22,2.1,0.3,3.5,2.6
Cont flood Basalt,Rhyolite,76.9,0.23,10.8,0.14,0.3,0.02,5.54,2.63,0.02,0.8,8,8,2.4,5,201,10,72,624,39.5,53.8,48.4,10.8,0.75,8.32,1.16,18.9,22.7
Convergent margin,Rhyolite,69.35,0.303,15.2,2.15,0.61,0.043,3.73,4.44,0.098,0.691996143,2.487360971,8,0.525598598,0.844106464,142.7466151,18.34246333,2.604484305,74.74711624,8.335609756,12.4911032,7.622443235,1.302132478,0.142507069,0.401534036,0.0642,2.685810811,4.727404456
Archean craton,Rhyolite,77.4,0.25,11.26,0.55,0.09,0.04,3,4.64,0.05,5.4,9.11,8.02,0.86,1.82,38.1,24.6,63.39,272.8,46.2,96.91,46.25,9.72,1.168,7.7,1.161,8.1,5.8
Archean craton,Rhyolite,73.36,0.39,12.92,0.04,1.91,0.05,3.95,0.23,0.03,3.7,45.41,8.09,5.87,2.76,66.88,52.5,19.73,238.1,18.85,42.54,19.4,3.74,0.825,2.16,0.334,6,2.92
Intraplate,Dacite,67.03,0.43,14.52,2.8,1.13,0.08,3.38,2.75,0.15,7.5,44,8.1,4.9,4.5,112,196,26.4,189,29.49,58.96,27.75,5.5,0.77,2.69,0.41,5.6,10.89
Archean craton,Rhyolite,70.22,0.6,13.43,2.96,0.21,0.08,1.21,5.41,0.15,6.5,30.34,8.18,1.62,1.7,31.74,93.3,13.5,157.3,17.7,40.01,20.3,3.95,1.084,1.52,0.23,4,2.99
Convergent margin,Andesite,54.41,0.75,18.72,8.39,2.94,0.18,2.3,3.57,0.27,NA,229,8.3,20,2.3,58.1,600,22.7,89,18.7,36.2,17.1,3.93,1.14,1.93,0.326,2.13,6.91
Convergent margin,Dacite,63.03,0.69,17.11,4.27,2.22,0.07,1.83,4.97,0.17,10,79,8.3,11.7,14.2,31.8,474,15.6,203,12.7,27.1,13.2,2.92,0.84,1.48,0.23,3.96,3.63
Intraplate,Rhyolite,76.56,0.19,11.75,0.39,0.28,0.05,5.99,3.13,0.03,4.26,NA,8.32,0.16,2.69,270,9.7,33.3,98.9,47.4,115,41.3,9.66,0.61,4.04,0.54,4.72,39.7
Cont flood Basalt,Rhyolite,68.57,0.49,12.44,1.71,0.47,0.13,4.33,3.52,0.12,10.3,6.49,8.32,2.83,3.66,119,132,150,1011,106,236,120,24.2,4.99,12.4,1.76,13.7,13.4
Intraplate,Rhyolite,72.43,0.39,14.05,0.14,0.44,0.03,7.91,1.87,0.05,8.22,NA,8.35,0.48,1.73,357,68.2,67.6,99.3,189,329,159,26.8,2.82,4.43,0.61,3.92,34.9
Convergent margin,Andesite,52.6,0.81,19.6,9.49,4.31,0.15,0.94,3.54,0.14,23.24,194.69,8.35,27.65,12.6,19.87,477.15,16.26,55.63,6.49,14.99,9.98,2.78,0.92,1.7,0.26,1.7,1.76
Archean craton,Rhyolite,83.18,0.2,9.18,0.32,0.24,0.01,0.08,5.17,0.03,4.1,1.6,8.39,0.78,0.96,1.58,57.3,34.52,212.9,16.35,39.26,21,4.82,0.708,4.24,0.666,5.5,3.2
